question,question_number,result_rank,excerpt,filename,model_chunk_index,model_chapter_number,model_chapter_title,model_chunk_in_chapter_index,all_model_chunks,model_filename,excerpt_cleaned,expected_all_chunk_indices,expected_book_filename,correct_match
What color are Dorothy's shoes?,1,1,"“Dorothy looked, and gave a little cry of fright. There, indeed, just under the corner of the great beam the house rested on, two feet were sticking out, shod in silver shoes with pointed toes. </p> <p> “Oh, dear! Oh, dear!” cried Dorothy, clasping her hands together in dismay. “The house must have fallen on her.” </p> <p> “Now she is dead,” said the Munchkins, “and we are freed from our slavery.” </p> <p> The little old woman walked up to Dorothy, made a low bow and said, in a sweet voice: </p> <p> “You are welcome, most noble Sorceress, to the land of the Munchkins. We are so grateful to you for having killed the Wicked Witch of the East, and for setting our people free from bondage.” </p> <p> Dorothy listened to this speech with wonder. What could the little woman possibly mean by calling her a sorceress, and saying she had killed the Wicked Witch of the East? Dorothy was an innocent, harmless little girl, who had been carried by a cyclone many miles from home; and she had never killed anything in all her life. </p> <p> But the little woman evidently expected her to answer; so Dorothy said, with hesitation, “You are very kind, but there must be some mistake. I have not killed anything.” </p> <p> “Your house did, anyway,” replied the little old woman, with a laugh, “and that is the same thing. See!” she continued, pointing to the corner of the house. “There are her two feet, still sticking out from under a block of wood.””",book1_the_wonderful_wizard_of_oz_pg55_images,,,,,[],,dorothy looked and gave a little cry of fright. there indeed just under the corner of the great beam the house rested on two feet were sticking out shod in silver shoes with pointed toes. oh dear! oh dear! cried dorothy clasping her hands together in dismay. the house must have fallen on her. now she is dead said the munchkins and we are freed from our slavery. the little old woman walked up to dorothy made a low bow and said in a sweet voice: you are welcome most noble sorceress to the land of the munchkins. we are so grateful to you for having killed the wicked witch of the east and for setting our people free from bondage. dorothy listened to this speech with wonder. what could the little woman possibly mean by calling her a sorceress and saying she had killed the wicked witch of the east? dorothy was an innocent harmless little girl who had been carried by a cyclone many miles from home; and she had never killed anything in all her life. but the little woman evidently expected her to answer; so dorothy said with hesitation you are very kind but there must be some mistake. i have not killed anything. your house did anyway replied the little old woman with a laugh and that is the same thing. see! she continued pointing to the corner of the house. there are her two feet still sticking out from under a block of wood.,[17],the_wonderful_wizard_of_oz,False
What color are Dorothy's shoes?,1,2,"““What is it?” asked the little old woman, and looked, and began to laugh. The feet of the dead Witch had disappeared entirely, and nothing was left but the silver shoes. </p> <p> “She was so old,” explained the Witch of the North, “that she dried up quickly in the sun. That is the end of her. But the silver shoes are yours, and you shall have them to wear.” She reached down and picked up the shoes, and after shaking the dust out of them handed them to Dorothy. </p> <p> “The Witch of the East was proud of those silver shoes,” said one of the Munchkins, “and there is some charm connected with them; but what it is we never knew.” </p> <p> Dorothy carried the shoes into the house and placed them on the table. Then she came out again to the Munchkins and said: </p> <p> “I am anxious to get back to my aunt and uncle, for I am sure they will worry about me. Can you help me find my way?” </p> <p> The Munchkins and the Witch first looked at one another, and then at Dorothy, and then shook their heads.”",book1_the_wonderful_wizard_of_oz_pg55_images,17.0,2.0,The Council With The Munchkins,8.0,"[17, 18]",the_wonderful_wizard_of_oz,what is it? asked the little old woman and looked and began to laugh. the feet of the dead witch had disappeared entirely and nothing was left but the silver shoes. she was so old explained the witch of the north that she dried up quickly in the sun. that is the end of her. but the silver shoes are yours and you shall have them to wear. she reached down and picked up the shoes and after shaking the dust out of them handed them to dorothy. the witch of the east was proud of those silver shoes said one of the munchkins and there is some charm connected with them; but what it is we never knew. dorothy carried the shoes into the house and placed them on the table. then she came out again to the munchkins and said: i am anxious to get back to my aunt and uncle for i am sure they will worry about me. can you help me find my way? the munchkins and the witch first looked at one another and then at dorothy and then shook their heads.,[17],the_wonderful_wizard_of_oz,True
What color are Dorothy's shoes?,1,3,"“Dorothy had only one other dress, but that happened to be clean and was hanging on a peg beside her bed. It was gingham, with checks of white and blue; and although the blue was somewhat faded with many washings, it was still a pretty frock. The girl washed herself carefully, dressed herself in the clean gingham, and tied her pink sunbonnet on her head. She took a little basket and filled it with bread from the cupboard, laying a white cloth over the top. Then she looked down at her feet and noticed how old and worn her shoes were. </p> <p> “They surely will never do for a long journey, Toto,” she said. And Toto looked up into her face with his little black eyes and wagged his tail to show he knew what she meant. </p> <p> At that moment Dorothy saw lying on the table the silver shoes that had belonged to the Witch of the East. </p> <p> “I wonder if they will fit me,” she said to Toto. “They would be just the thing to take a long walk in, for they could not wear out.” </p> <p> She took off her old leather shoes and tried on the silver ones, which fitted her as well as if they had been made for her. </p> <p> Finally she picked up her basket. </p> <p> “Come along, Toto,” she said. “We will go to the Emerald City and ask the Great Oz how to get back to Kansas again.””",book1_the_wonderful_wizard_of_oz_pg55_images,23.0,3.0,How Dorothy Saved The Scarecrow,0.0,"[23, 24]",the_wonderful_wizard_of_oz,dorothy had only one other dress but that happened to be clean and was hanging on a peg beside her bed. it was gingham with checks of white and blue; and although the blue was somewhat faded with many washings it was still a pretty frock. the girl washed herself carefully dressed herself in the clean gingham and tied her pink sunbonnet on her head. she took a little basket and filled it with bread from the cupboard laying a white cloth over the top. then she looked down at her feet and noticed how old and worn her shoes were. they surely will never do for a long journey toto she said. and toto looked up into her face with his little black eyes and wagged his tail to show he knew what she meant. at that moment dorothy saw lying on the table the silver shoes that had belonged to the witch of the east. i wonder if they will fit me she said to toto. they would be just the thing to take a long walk in for they could not wear out. she took off her old leather shoes and tried on the silver ones which fitted her as well as if they had been made for her. finally she picked up her basket. come along toto she said. we will go to the emerald city and ask the great oz how to get back to kansas again.,[17],the_wonderful_wizard_of_oz,False
How old is the Scarecrow when Dorothy finds him?,2,1,"“She ate a hearty breakfast, and watched a wee Munchkin baby, who played with Toto and pulled his tail and crowed and laughed in a way that greatly amused Dorothy. Toto was a fine curiosity to all the people, for they had never seen a dog before. </p> <p> “How far is it to the Emerald City?” the girl asked. </p> <p> “I do not know,” answered Boq gravely, “for I have never been there. It is better for people to keep away from Oz, unless they have business with him. But it is a long way to the Emerald City, and it will take you many days. The country here is rich and pleasant, but you must pass through rough and dangerous places before you reach the end of your journey.” </p> <p> This worried Dorothy a little, but she knew that only the Great Oz could help her get to Kansas again, so she bravely resolved not to turn back. </p> <p> She bade her friends good-bye, and again started along the road of yellow brick. When she had gone several miles she thought she would stop to rest, and so climbed to the top of the fence beside the road and sat down. There was a great cornfield beyond the fence, and not far away she saw a Scarecrow, placed high on a pole to keep the birds from the ripe corn. </p> <p> Dorothy leaned her chin upon her hand and gazed thoughtfully at the Scarecrow. Its head was a small sack stuffed with straw, with eyes, nose, and mouth painted on it to represent a face. An old, pointed blue hat, that had belonged to some Munchkin, was perched on his head, and the rest of the figure was a blue suit of clothes, worn and faded, which had also been stuffed with straw. On the feet were some old boots with blue tops, such as every man wore in this country, and the figure was raised above the stalks of corn by means of the pole stuck up its back. </p> <p> While Dorothy was looking earnestly into the queer, painted face of the Scarecrow, she was surprised to see one of the eyes slowly wink at her. She thought she must have been mistaken at first, for none of the scarecrows in Kansas ever wink; but presently the figure nodded its head to her in a friendly way. Then she climbed down from the fence and walked up to it, while Toto ran around the pole and barked. </p> <p> “Good day,” said the Scarecrow, in a rather husky voice. </p> <p> “Did you speak?” asked the girl, in wonder. </p> <p> “Certainly,” answered the Scarecrow. “How do you do?” </p> <p> “I’m pretty well, thank you,” replied Dorothy politely. “How do you do?” </p> <p> “I’m not feeling well,” said the Scarecrow, with a smile, “for it is very tedious being perched up here night and day to scare away crows.” </p> <p> “Can’t you get down?” asked Dorothy. </p> <p> “No, for this pole is stuck up my back.””",book1_the_wonderful_wizard_of_oz_pg55_images,29.0,3.0,How Dorothy Saved The Scarecrow,6.0,"[29, 30, 31, 32]",the_wonderful_wizard_of_oz,she ate a hearty breakfast and watched a wee munchkin baby who played with toto and pulled his tail and crowed and laughed in a way that greatly amused dorothy. toto was a fine curiosity to all the people for they had never seen a dog before. how far is it to the emerald city? the girl asked. i do not know answered boq gravely for i have never been there. it is better for people to keep away from oz unless they have business with him. but it is a long way to the emerald city and it will take you many days. the country here is rich and pleasant but you must pass through rough and dangerous places before you reach the end of your journey. this worried dorothy a little but she knew that only the great oz could help her get to kansas again so she bravely resolved not to turn back. she bade her friends good bye and again started along the road of yellow brick. when she had gone several miles she thought she would stop to rest and so climbed to the top of the fence beside the road and sat down. there was a great cornfield beyond the fence and not far away she saw a scarecrow placed high on a pole to keep the birds from the ripe corn. dorothy leaned her chin upon her hand and gazed thoughtfully at the scarecrow. its head was a small sack stuffed with straw with eyes nose and mouth painted on it to represent a face. an old pointed blue hat that had belonged to some munchkin was perched on his head and the rest of the figure was a blue suit of clothes worn and faded which had also been stuffed with straw. on the feet were some old boots with blue tops such as every man wore in this country and the figure was raised above the stalks of corn by means of the pole stuck up its back. while dorothy was looking earnestly into the queer painted face of the scarecrow she was surprised to see one of the eyes slowly wink at her. she thought she must have been mistaken at first for none of the scarecrows in kansas ever wink; but presently the figure nodded its head to her in a friendly way. then she climbed down from the fence and walked up to it while toto ran around the pole and barked. good day said the scarecrow in a rather husky voice. did you speak? asked the girl in wonder. certainly answered the scarecrow. how do you do? im pretty well thank you replied dorothy politely. how do you do? im not feeling well said the scarecrow with a smile for it is very tedious being perched up here night and day to scare away crows. cant you get down? asked dorothy. no for this pole is stuck up my back.,[40],the_wonderful_wizard_of_oz,False
How old is the Scarecrow when Dorothy finds him?,2,2,"“And Dorothy, with her basket on her arm, once more started along the road of yellow brick. When she had gone some miles she thought she would stop to rest, and so climbed to the top of the fence beside the road and sat down. There was a great corn-field beyond the fence, and not far away she saw a Scarecrow, placed high on a pole to keep the birds from the ripe corn. </p> <p> Dorothy leaned her chin upon her hand and gazed thoughtfully at the Scarecrow. Its head was a small sack stuffed with straw, with eyes, nose, and mouth painted on it to represent a face. An old pointed blue hat, that had belonged to some Munchkin, was perched on his head, and the rest of the figure was a blue suit of clothes, worn and faded, which had also been stuffed with straw. On the feet were some old boots with blue tops, such as every man wore in this country, and the figure was raised above the stalks of corn by means of the pole stuck up its back. </p> <p> While Dorothy was looking earnestly into the queer, painted face of the Scarecrow, she was surprised to see one of the eyes slowly wink at her. She thought she must have been mistaken at first, for she had never seen a Scarecrow wink before. But presently the figure nodded its head to her in a friendly way. Then she climbed down from the fence and walked up to it, while Toto ran around and barked. </p> <p> “Good day,” said the Scarecrow, in a rather husky voice. </p> <p> “Did you speak?” asked the girl, in wonder. </p> <p> “Certainly,” answered the Scarecrow. “How do you do?” </p> <p> “I’m pretty well, thank you,” replied Dorothy, politely. “How do you do?” </p> <p> “I’m not feeling well,” said the Scarecrow, “for it is very tedious to be perched up here night and day to scare away crows.””",book1_the_wonderful_wizard_of_oz_pg55_images,,,,,[],,and dorothy with her basket on her arm once more started along the road of yellow brick. when she had gone some miles she thought she would stop to rest and so climbed to the top of the fence beside the road and sat down. there was a great corn field beyond the fence and not far away she saw a scarecrow placed high on a pole to keep the birds from the ripe corn. dorothy leaned her chin upon her hand and gazed thoughtfully at the scarecrow. its head was a small sack stuffed with straw with eyes nose and mouth painted on it to represent a face. an old pointed blue hat that had belonged to some munchkin was perched on his head and the rest of the figure was a blue suit of clothes worn and faded which had also been stuffed with straw. on the feet were some old boots with blue tops such as every man wore in this country and the figure was raised above the stalks of corn by means of the pole stuck up its back. while dorothy was looking earnestly into the queer painted face of the scarecrow she was surprised to see one of the eyes slowly wink at her. she thought she must have been mistaken at first for she had never seen a scarecrow wink before. but presently the figure nodded its head to her in a friendly way. then she climbed down from the fence and walked up to it while toto ran around and barked. good day said the scarecrow in a rather husky voice. did you speak? asked the girl in wonder. certainly answered the scarecrow. how do you do? im pretty well thank you replied dorothy politely. how do you do? im not feeling well said the scarecrow for it is very tedious to be perched up here night and day to scare away crows.,[40],the_wonderful_wizard_of_oz,False
How old is the Scarecrow when Dorothy finds him?,2,3,"““No,” answered the Scarecrow; “it is a great inconvenience, for I have been here so long that my clothes are beginning to blow away. But if you will please take away the pole I shall be greatly obliged to you.” </p> <p> Dorothy reached up both arms and lifted the figure off the pole, for, being stuffed with straw, it was quite light. </p> <p> “Thank you very much,” said the Scarecrow, when he had been set down on the ground. “I feel like a new man.” </p> <p> Dorothy was puzzled at this, for it sounded queer to hear a stuffed man speak, and to see him bow and walk along beside her. </p> <p> “Who are you?” asked the Scarecrow, when he had stretched himself and yawned. “And where are you going?” </p> <p> “My name is Dorothy,” said the girl, “and I am going to the Emerald City, to ask the great Oz to send me back to Kansas.” </p> <p> “Where is the Emerald City?” he inquired. “And who is Oz?” </p> <p> “Why, don’t you know?” she returned, in surprise. </p> <p> “No, indeed. I don’t know anything. You see, I am stuffed, so I have no brains at all,” he answered, sadly. </p> <p> “Oh,” said Dorothy, “I’m awfully sorry for you.” </p> <p> “Do you think,” he asked, “if I go to the Emerald City with you, that Oz would give me some brains?” </p> <p> “I cannot tell,” she returned; “but you may come with me, if you like. If Oz will not give you any brains, you will be no worse off than you are now.” </p> <p> “That is true,” said the Scarecrow. “You see,” he continued, confidentially, “I don’t mind my legs and arms and body being stuffed, because I cannot get hurt. If anyone treads on my toes, or sticks a pin into me, it doesn’t matter, for I can’t feel it. But I do not want people to call me a fool, and if my head stays stuffed with straw instead of brains, as yours is, how am I ever to know anything?””",book1_the_wonderful_wizard_of_oz_pg55_images,,,,,[],,no answered the scarecrow; it is a great inconvenience for i have been here so long that my clothes are beginning to blow away. but if you will please take away the pole i shall be greatly obliged to you. dorothy reached up both arms and lifted the figure off the pole for being stuffed with straw it was quite light. thank you very much said the scarecrow when he had been set down on the ground. i feel like a new man. dorothy was puzzled at this for it sounded queer to hear a stuffed man speak and to see him bow and walk along beside her. who are you? asked the scarecrow when he had stretched himself and yawned. and where are you going? my name is dorothy said the girl and i am going to the emerald city to ask the great oz to send me back to kansas. where is the emerald city? he inquired. and who is oz? why dont you know? she returned in surprise. no indeed. i dont know anything. you see i am stuffed so i have no brains at all he answered sadly. oh said dorothy im awfully sorry for you. do you think he asked if i go to the emerald city with you that oz would give me some brains? i cannot tell she returned; but you may come with me if you like. if oz will not give you any brains you will be no worse off than you are now. that is true said the scarecrow. you see he continued confidentially i dont mind my legs and arms and body being stuffed because i cannot get hurt. if anyone treads on my toes or sticks a pin into me it doesnt matter for i cant feel it. but i do not want people to call me a fool and if my head stays stuffed with straw instead of brains as yours is how am i ever to know anything?,[40],the_wonderful_wizard_of_oz,False
Which are the first antagonistic creatures the travelers encounter in the forest in the first book?,3,1,"“The first day’s journey was through the green fields and bright flowers that stretched about the Emerald City on every side. They slept that night on the grass, with nothing but the stars over them; and they rested very well indeed. In the morning they traveled on until they came to a thick wood. There was no way of going around it, for it seemed to extend to the right and left as far as they could see; and, besides, they did not dare change the direction of their journey for fear of getting lost. So they looked for the place where it would be easiest to get into the forest. The Scarecrow, who was in the lead, finally discovered a big tree with such wide-spreading branches that there was room for the party to pass underneath. So he walked forward to the tree, but just as he came under the first branches they bent down and twined around him, and the next minute he was raised from the ground and flung headlong among his fellow travelers. This did not hurt the Scarecrow, but it surprised him, and he looked rather dizzy when Dorothy picked him up. ‘Here is another space between the trees,’ called the Lion. ‘Let me try it first,’ said the Scarecrow, ‘for it doesn’t hurt me to get thrown about.’ He walked up to another tree, as he spoke, but its branches immediately seized him and tossed him back again. ‘This is strange,’ exclaimed Dorothy. ‘What shall we do?’ ‘The trees seem to have made up their minds to fight us, and stop our journey,’ remarked the Lion.”",book1_the_wonderful_wizard_of_oz_pg55_images,231.0,19.0,Attacked By The Fighting Trees,3.0,"[231, 232, 233]",the_wonderful_wizard_of_oz,the first days journey was through the green fields and bright flowers that stretched about the emerald city on every side. they slept that night on the grass with nothing but the stars over them; and they rested very well indeed. in the morning they traveled on until they came to a thick wood. there was no way of going around it for it seemed to extend to the right and left as far as they could see; and besides they did not dare change the direction of their journey for fear of getting lost. so they looked for the place where it would be easiest to get into the forest. the scarecrow who was in the lead finally discovered a big tree with such wide spreading branches that there was room for the party to pass underneath. so he walked forward to the tree but just as he came under the first branches they bent down and twined around him and the next minute he was raised from the ground and flung headlong among his fellow travelers. this did not hurt the scarecrow but it surprised him and he looked rather dizzy when dorothy picked him up. here is another space between the trees called the lion. let me try it first said the scarecrow for it doesnt hurt me to get thrown about. he walked up to another tree as he spoke but its branches immediately seized him and tossed him back again. this is strange exclaimed dorothy. what shall we do? the trees seem to have made up their minds to fight us and stop our journey remarked the lion.,"[231, 232]",the_wonderful_wizard_of_oz,True
Which are the first antagonistic creatures the travelers encounter in the forest in the first book?,3,2,"“There were few birds in this part of the forest, for birds love the open country where there is plenty of sunshine. But now and then there came a deep growl from some wild animal hidden among the trees. These sounds made the little girl’s heart beat fast, for she did not know what made them; but Toto knew, and he walked close to Dorothy’s side, and did not even bark in return. ‘How long will it be,’ the child asked of the Tin Woodman, ‘before we are out of the forest?’ ‘I cannot tell,’ was the answer, ‘for I have never been to the Emerald City. But my father went there once, when I was a boy, and he said it was a long journey through a dangerous country, although nearer to the city where Oz dwells the country is beautiful. But I am not afraid so long as I have my oil-can, and nothing can hurt the Scarecrow, while you bear upon your forehead the mark of the Good Witch’s kiss, and that will protect you from harm.’ ‘But Toto!’ said the girl anxiously. ‘What will protect him?’ ‘We must protect him ourselves if he is in danger,’ replied the Tin Woodman. Just as he spoke there came from the forest a terrible roar, and the next moment a great Lion bounded into the road. With one blow of his paw he sent the Scarecrow spinning over and over to the edge of the road, and then he struck at the Tin Woodman with his sharp claws.”",book1_the_wonderful_wizard_of_oz_pg55_images,59.0,6.0,The Cowardly Lion,0.0,"[59, 60]",the_wonderful_wizard_of_oz,there were few birds in this part of the forest for birds love the open country where there is plenty of sunshine. but now and then there came a deep growl from some wild animal hidden among the trees. these sounds made the little girls heart beat fast for she did not know what made them; but toto knew and he walked close to dorothys side and did not even bark in return. how long will it be the child asked of the tin woodman before we are out of the forest? i cannot tell was the answer for i have never been to the emerald city. but my father went there once when i was a boy and he said it was a long journey through a dangerous country although nearer to the city where oz dwells the country is beautiful. but i am not afraid so long as i have my oil can and nothing can hurt the scarecrow while you bear upon your forehead the mark of the good witchs kiss and that will protect you from harm. but toto! said the girl anxiously. what will protect him? we must protect him ourselves if he is in danger replied the tin woodman. just as he spoke there came from the forest a terrible roar and the next moment a great lion bounded into the road. with one blow of his paw he sent the scarecrow spinning over and over to the edge of the road and then he struck at the tin woodman with his sharp claws.,"[231, 232]",the_wonderful_wizard_of_oz,False
Which are the first antagonistic creatures the travelers encounter in the forest in the first book?,3,3,"“They found the forest very thick on this side, and it looked dark and gloomy. After the Lion had rested they started along the road of yellow brick, silently wondering, each in his own mind, if ever they would come to the end of the woods and reach the bright sunshine again. To add to their discomfort, they soon heard strange noises in the depths of the forest, and the Lion whispered to them that it was in this part of the country that the Kalidahs lived. ‘What are the Kalidahs?’ asked the girl. ‘They are monstrous beasts with bodies like bears and heads like tigers,’ replied the Lion, ‘and with claws so long and sharp that they could tear me in two as easily as I could kill Toto. I’m terribly afraid of the Kalidahs.’ ‘I’m not surprised that you are,’ returned Dorothy. ‘They must be dreadful beasts.’ The Lion was about to reply when suddenly they came to another gulf across the road. But this one was so broad and deep that the Lion knew at once he could not leap across it. So they sat down to consider what they should do, and after serious thought the Scarecrow said: ‘Here is a great tree, standing close to the ditch. If the Tin Woodman can chop it down, so that it will fall to the other side, we can walk across it easily.’ ‘That is a first-rate idea,’ said the Lion.”",book1_the_wonderful_wizard_of_oz_pg55_images,75.0,7.0,The Journey To The Great Oz,6.0,"[75, 76]",the_wonderful_wizard_of_oz,they found the forest very thick on this side and it looked dark and gloomy. after the lion had rested they started along the road of yellow brick silently wondering each in his own mind if ever they would come to the end of the woods and reach the bright sunshine again. to add to their discomfort they soon heard strange noises in the depths of the forest and the lion whispered to them that it was in this part of the country that the kalidahs lived. what are the kalidahs? asked the girl. they are monstrous beasts with bodies like bears and heads like tigers replied the lion and with claws so long and sharp that they could tear me in two as easily as i could kill toto. im terribly afraid of the kalidahs. im not surprised that you are returned dorothy. they must be dreadful beasts. the lion was about to reply when suddenly they came to another gulf across the road. but this one was so broad and deep that the lion knew at once he could not leap across it. so they sat down to consider what they should do and after serious thought the scarecrow said: here is a great tree standing close to the ditch. if the tin woodman can chop it down so that it will fall to the other side we can walk across it easily. that is a first rate idea said the lion.,"[231, 232]",the_wonderful_wizard_of_oz,False
When is the first time we read 'There's no place like home'?,4,1,"“No matter how dreary and gray our homes are, we people of flesh and blood would rather live there than in any other country, be it ever so beautiful. There is no place like home.” </p> <p> The Scarecrow sighed. </p> <p> “Of course I cannot understand it,” he said. “If your heads were stuffed with straw, like mine, you would probably all live in the beautiful places, and then Kansas would have no people at all. It is fortunate for Kansas that you have brains.” </p> <p> “Won’t you tell me a story, while we are resting?” asked the child. </p> <p> The Scarecrow looked at her reproachfully, and answered: </p> <p> “My life has been so short that I really know nothing whatever. I was only made day before yesterday. What happened in the world before that time is all unknown to me. Luckily, when the farmer made my head, one of the first things he did was to paint my ears, so that I heard what was going on. There was another Munchkin with him, and the first thing I heard was the farmer saying, ‘How do you like those ears?’ </p> <p> “‘They aren’t straight,’” answered the other. </p> <p> “‘Never mind,’” said the farmer. “‘They are ears just the same,’” which was true enough. </p> <p> “‘Now I’ll make the eyes,’” said the farmer. So he painted my right eye, and as soon as it was finished I found myself looking at him and at everything around me with a great deal of curiosity, for this was my first glimpse of the world. </p> <p> “‘That’s a rather pretty eye,’” remarked the Munchkin who was watching the farmer. “‘Blue paint is just the color for eyes.’ </p>",,39.0,4.0,The Road Through The Forest,2.0,"[39, 40, 41]",the_wonderful_wizard_of_oz,no matter how dreary and gray our homes are we people of flesh and blood would rather live there than in any other country be it ever so beautiful. there is no place like home. the scarecrow sighed. of course i cannot understand it he said. if your heads were stuffed with straw like mine you would probably all live in the beautiful places and then kansas would have no people at all. it is fortunate for kansas that you have brains. wont you tell me a story while we are resting? asked the child. the scarecrow looked at her reproachfully and answered: my life has been so short that i really know nothing whatever. i was only made day before yesterday. what happened in the world before that time is all unknown to me. luckily when the farmer made my head one of the first things he did was to paint my ears so that i heard what was going on. there was another munchkin with him and the first thing i heard was the farmer saying how do you like those ears? they arent straight answered the other. never mind said the farmer. they are ears just the same which was true enough. now ill make the eyes said the farmer. so he painted my right eye and as soon as it was finished i found myself looking at him and at everything around me with a great deal of curiosity for this was my first glimpse of the world. thats a rather pretty eye remarked the munchkin who was watching the farmer. blue paint is just the color for eyes.,,,False
