Unnamed: 0,question,question_number,result_rank,excerpt,filename,model_chunk_index,model_chapter_number,model_chapter_title,model_chunk_in_chapter_index,all_model_chunks,model_filename,excerpt_cleaned,expected_all_chunk_indices,expected_book_filename,correct_match
0,What color are Dorothy's shoes?,1,1,"“Dorothy had only one other dress, but that happened to be clean and was hanging on a peg beside her bed. It was gingham, with checks of white and blue; and although the blue was somewhat faded with many washings, it was still a pretty frock. The girl washed herself carefully, dressed herself in the clean gingham, and tied her pink sunbonnet on her head. She took a little basket and filled it with bread from the cupboard, laying a white cloth over the top. Then she looked down at her feet and noticed how old and worn her shoes were.</p> <p> ‘They surely will never do for a long journey, Toto,’ she said. And Toto looked up into her face with his little black eyes and wagged his tail to show he knew what she meant.</p> <p> At that moment Dorothy saw lying on the table the silver shoes that had belonged to the Witch of the East.</p> <p> ‘I wonder if they will fit me,’ she said to Toto. ‘They would be just the thing to take a long walk in, for they could not wear out.’</p> <p> She took off her old leather shoes and tried on the silver ones, which fitted her as well as if they had been made for her.”",book1_the_wonderful_wizard_of_oz_pg55_images,22.0,3.0,How Dorothy Saved The Scarecrow,0.0,"[22, 23]",the_wonderful_wizard_of_oz,dorothy had only one other dress but that happened to be clean and was hanging on a peg beside her bed. it was gingham with checks of white and blue; and although the blue was somewhat faded with many washings it was still a pretty frock. the girl washed herself carefully dressed herself in the clean gingham and tied her pink sunbonnet on her head. she took a little basket and filled it with bread from the cupboard laying a white cloth over the top. then she looked down at her feet and noticed how old and worn her shoes were. they surely will never do for a long journey toto she said. and toto looked up into her face with his little black eyes and wagged his tail to show he knew what she meant. at that moment dorothy saw lying on the table the silver shoes that had belonged to the witch of the east. i wonder if they will fit me she said to toto. they would be just the thing to take a long walk in for they could not wear out. she took off her old leather shoes and tried on the silver ones which fitted her as well as if they had been made for her.,[16],the_wonderful_wizard_of_oz,False
1,What color are Dorothy's shoes?,1,2,"“Dorothy looked, and gave a little cry of fright. There, indeed, just under the corner of the great beam the house rested on, two feet were sticking out, shod in silver shoes with pointed toes.</p> <p> ‘Oh, dear! Oh, dear!’ cried Dorothy, clasping her hands together in dismay. ‘The house must have fallen on her. Whatever shall we do?’</p> <p> ‘There is nothing to be done,’ said the little woman calmly.</p> <p> ‘But who was she?’ asked Dorothy.</p> <p> ‘She was the Wicked Witch of the East, as I said,’ answered the little woman. ‘She has held all the Munchkins in bondage for many years, making them slave for her night and day. Now they are all set free, and are grateful to you for the favor.’</p> <p> ‘Who are the Munchkins?’ inquired Dorothy.</p> <p> ‘They are the people who live in this land of the East where the Wicked Witch ruled.’</p> <p> ‘Are you a Munchkin?’ asked Dorothy.</p> <p> ‘No, but I am their friend, although I live in the land of the North. When they saw the Witch of the East was dead the Munchkins sent a swift messenger to me, and I came at once. I am the Witch of the North.’”",book1_the_wonderful_wizard_of_oz_pg55_images,12.0,2.0,The Council With The Munchkins,3.0,"[12, 13]",the_wonderful_wizard_of_oz,dorothy looked and gave a little cry of fright. there indeed just under the corner of the great beam the house rested on two feet were sticking out shod in silver shoes with pointed toes. oh dear! oh dear! cried dorothy clasping her hands together in dismay. the house must have fallen on her. whatever shall we do? there is nothing to be done said the little woman calmly. but who was she? asked dorothy. she was the wicked witch of the east as i said answered the little woman. she has held all the munchkins in bondage for many years making them slave for her night and day. now they are all set free and are grateful to you for the favor. who are the munchkins? inquired dorothy. they are the people who live in this land of the east where the wicked witch ruled. are you a munchkin? asked dorothy. no but i am their friend although i live in the land of the north. when they saw the witch of the east was dead the munchkins sent a swift messenger to me and i came at once. i am the witch of the north.,[16],the_wonderful_wizard_of_oz,False
2,What color are Dorothy's shoes?,1,3,"“‘Your Silver Shoes will carry you over the desert,’ replied Glinda. ‘If you had known their power you could have gone back to your Aunt Em the very first day you came to this country.’</p> <p> ‘But then I should not have had my wonderful brains!’ cried the Scarecrow. ‘I might have passed my whole life in the farmer’s cornfield.’</p> <p> ‘And I should not have had my lovely heart,’ said the Tin Woodman. ‘I might have stood and rusted in the forest till the end of the world.’</p> <p> ‘And I should have lived a coward forever,’ declared the Lion, ‘and no beast in all the forest would have had a good word to say to me.’</p> <p> ‘This is all true,’ said Dorothy, ‘and I am glad I was of use to these good friends. But now that each of them has had what he most desired, and each is happy in having a kingdom to rule besides, I think I should like to go back to Kansas.’</p> <p> ‘The Silver Shoes,’ said the Good Witch, ‘have wonderful powers. And one of the most curious things about them is that they can carry you to any place in the world in three steps, and each step will be made in the wink of an eye. All you have to do is to knock the heels together three times and command the shoes to carry you wherever you wish to go.’”",book1_the_wonderful_wizard_of_oz_pg55_images,252.0,23.0,Glinda The Good Witch Grants Dorothy’s Wish,5.0,"[252, 253]",the_wonderful_wizard_of_oz,your silver shoes will carry you over the desert replied glinda. if you had known their power you could have gone back to your aunt em the very first day you came to this country. but then i should not have had my wonderful brains! cried the scarecrow. i might have passed my whole life in the farmers cornfield. and i should not have had my lovely heart said the tin woodman. i might have stood and rusted in the forest till the end of the world. and i should have lived a coward forever declared the lion and no beast in all the forest would have had a good word to say to me. this is all true said dorothy and i am glad i was of use to these good friends. but now that each of them has had what he most desired and each is happy in having a kingdom to rule besides i think i should like to go back to kansas. the silver shoes said the good witch have wonderful powers. and one of the most curious things about them is that they can carry you to any place in the world in three steps and each step will be made in the wink of an eye. all you have to do is to knock the heels together three times and command the shoes to carry you wherever you wish to go.,[16],the_wonderful_wizard_of_oz,False
3,How old is the Scarecrow when Dorothy finds him?,2,1,"“She ate a hearty breakfast, and watched a wee Munchkin baby, who played with Toto and pulled his tail and crowed and laughed in a way that greatly amused Dorothy. Toto was a fine curiosity to all the people, for they had never seen a dog before. </p> <p> “How far is it to the Emerald City?” the girl asked. </p> <p> “I do not know,” answered Boq gravely, “for I have never been there. It is better for people to keep away from Oz, unless they have business with him. But it is a long way to the Emerald City, and it will take you many days. The country here is rich and pleasant, but you must pass through rough and dangerous places before you reach the end of your journey.” </p> <p> This worried Dorothy a little, but she knew that only the Great Oz could help her get to Kansas again, so she bravely resolved not to turn back. </p> <p> She bade her friends good-bye, and again started along the road of yellow brick. When she had gone several miles she thought she would stop to rest, and so climbed to the top of the fence beside the road and sat down. There was a great cornfield beyond the fence, and not far away she saw a Scarecrow, placed high on a pole to keep the birds from the ripe corn. </p> <p> Dorothy leaned her chin upon her hand and gazed thoughtfully at the Scarecrow. Its head was a small sack stuffed with straw, with eyes, nose, and mouth painted on it to represent a face. An old, pointed blue hat, that had belonged to some Munchkin, was perched on his head, and the rest of the figure was a blue suit of clothes, worn and faded, which had also been stuffed with straw. On the feet were some old boots with blue tops, such as every man wore in this country, and the figure was raised above the stalks of corn by means of the pole stuck up its back. </p> <p> While Dorothy was looking earnestly into the queer, painted face of the Scarecrow, she was surprised to see one of the eyes slowly wink at her. She thought she must have been mistaken at first, for none of the scarecrows in Kansas ever wink; but presently the figure nodded its head to her in a friendly way. Then she climbed down from the fence and walked up to it, while Toto ran around the pole and barked. </p> <p> “Good day,” said the Scarecrow, in a rather husky voice. </p> <p> “Did you speak?” asked the girl, in wonder. </p> <p> “Certainly,” answered the Scarecrow. “How do you do?” </p> <p> “I’m pretty well, thank you,” replied Dorothy politely. “How do you do?” </p> <p> “I’m not feeling well,” said the Scarecrow, with a smile, “for it is very tedious being perched up here night and day to scare away crows.” </p> <p> “Can’t you get down?” asked Dorothy. </p> <p> “No, for this pole is stuck up my back.””",book1_the_wonderful_wizard_of_oz_pg55_images,27.0,3.0,How Dorothy Saved The Scarecrow,5.0,"[27, 28, 29, 30]",the_wonderful_wizard_of_oz,she ate a hearty breakfast and watched a wee munchkin baby who played with toto and pulled his tail and crowed and laughed in a way that greatly amused dorothy. toto was a fine curiosity to all the people for they had never seen a dog before. how far is it to the emerald city? the girl asked. i do not know answered boq gravely for i have never been there. it is better for people to keep away from oz unless they have business with him. but it is a long way to the emerald city and it will take you many days. the country here is rich and pleasant but you must pass through rough and dangerous places before you reach the end of your journey. this worried dorothy a little but she knew that only the great oz could help her get to kansas again so she bravely resolved not to turn back. she bade her friends good bye and again started along the road of yellow brick. when she had gone several miles she thought she would stop to rest and so climbed to the top of the fence beside the road and sat down. there was a great cornfield beyond the fence and not far away she saw a scarecrow placed high on a pole to keep the birds from the ripe corn. dorothy leaned her chin upon her hand and gazed thoughtfully at the scarecrow. its head was a small sack stuffed with straw with eyes nose and mouth painted on it to represent a face. an old pointed blue hat that had belonged to some munchkin was perched on his head and the rest of the figure was a blue suit of clothes worn and faded which had also been stuffed with straw. on the feet were some old boots with blue tops such as every man wore in this country and the figure was raised above the stalks of corn by means of the pole stuck up its back. while dorothy was looking earnestly into the queer painted face of the scarecrow she was surprised to see one of the eyes slowly wink at her. she thought she must have been mistaken at first for none of the scarecrows in kansas ever wink; but presently the figure nodded its head to her in a friendly way. then she climbed down from the fence and walked up to it while toto ran around the pole and barked. good day said the scarecrow in a rather husky voice. did you speak? asked the girl in wonder. certainly answered the scarecrow. how do you do? im pretty well thank you replied dorothy politely. how do you do? im not feeling well said the scarecrow with a smile for it is very tedious being perched up here night and day to scare away crows. cant you get down? asked dorothy. no for this pole is stuck up my back.,[38],the_wonderful_wizard_of_oz,False
4,How old is the Scarecrow when Dorothy finds him?,2,2,"“Dorothy reached up both arms and lifted the figure off the pole, for, being stuffed with straw, it was quite light.</p> <p> “Thank you very much,” said the Scarecrow, when he had been set down on the ground. “I feel like a new man.”</p> <p> Dorothy was puzzled at this, for it sounded queer to hear a stuffed man speak, and to see him bow and walk along beside her.</p> <p> “Who are you?” asked the Scarecrow when he had stretched himself and yawned. “And where are you going?”</p> <p> “My name is Dorothy,” said the girl, “and I am going to the Emerald City, to ask the Great Oz to send me back to Kansas.”</p> <p> “Where is the Emerald City?” he inquired. “And who is Oz?”</p> <p> “Why, don’t you know?” she returned, in surprise.</p> <p> “No, indeed. I don’t know anything. You see, I am stuffed, so I have no brains at all,” he answered sadly.</p> <p> “Oh,” said Dorothy, “I’m awfully sorry for you.”</p> <p> “Do you think,” he asked, “if I go to the Emerald City with you, that Oz would give me some brains?”</p> <p> “I cannot tell,” she returned, “but you may come with me, if you like. If Oz will not give you any brains you will be no worse off than you are now.”</p> <p> “That is true,” said the Scarecrow. “You see,” he continued, confidentially, “I don’t mind my legs and arms and body being stuffed, because I cannot get hurt. If anyone treads on my toes or sticks a pin into me, it doesn’t matter, for I can’t feel it. But I do not want people to call me a fool, and if my head stays stuffed with straw instead of with brains, as yours is, how am I ever to know anything?”</p> <p> “I understand how you feel,” said the little girl, who was truly sorry for him. “If you will come with me I’ll ask Oz to do all he can for you.”</p> <p> “Thank you,” he answered gratefully.”",book1_the_wonderful_wizard_of_oz_pg55_images,30.0,3.0,How Dorothy Saved The Scarecrow,8.0,"[30, 31, 32, 33]",the_wonderful_wizard_of_oz,dorothy reached up both arms and lifted the figure off the pole for being stuffed with straw it was quite light. thank you very much said the scarecrow when he had been set down on the ground. i feel like a new man. dorothy was puzzled at this for it sounded queer to hear a stuffed man speak and to see him bow and walk along beside her. who are you? asked the scarecrow when he had stretched himself and yawned. and where are you going? my name is dorothy said the girl and i am going to the emerald city to ask the great oz to send me back to kansas. where is the emerald city? he inquired. and who is oz? why dont you know? she returned in surprise. no indeed. i dont know anything. you see i am stuffed so i have no brains at all he answered sadly. oh said dorothy im awfully sorry for you. do you think he asked if i go to the emerald city with you that oz would give me some brains? i cannot tell she returned but you may come with me if you like. if oz will not give you any brains you will be no worse off than you are now. that is true said the scarecrow. you see he continued confidentially i dont mind my legs and arms and body being stuffed because i cannot get hurt. if anyone treads on my toes or sticks a pin into me it doesnt matter for i cant feel it. but i do not want people to call me a fool and if my head stays stuffed with straw instead of with brains as yours is how am i ever to know anything? i understand how you feel said the little girl who was truly sorry for him. if you will come with me ill ask oz to do all he can for you. thank you he answered gratefully.,[38],the_wonderful_wizard_of_oz,False
5,How old is the Scarecrow when Dorothy finds him?,1,1,"“There was a great cornfield beyond the fence, and not far away she saw a Scarecrow, placed high on a pole to keep the birds from the ripe corn. </p> <p> Dorothy leaned her chin upon her hand and gazed thoughtfully at the Scarecrow. Its head was a small sack stuffed with straw, with eyes, nose, and mouth painted on it to represent a face. An old, pointed blue hat, that had belonged to some Munchkin, was perched on his head, and the rest of the figure was a blue suit of clothes, worn and faded, which had also been stuffed with straw. On the feet were some old boots with blue tops, such as every man wore in this country, and the figure was raised above the stalks of corn by means of the pole stuck up its back. </p> <p> While Dorothy was looking earnestly into the queer, painted face of the Scarecrow, she was surprised to see one of the eyes slowly wink at her. She thought she must have been mistaken at first, for none of the scarecrows in Kansas ever wink; but presently the figure nodded its head to her in a friendly way. Then she climbed down from the fence and walked up to it, while Toto ran around the pole and barked. </p> <p> “Good day,” said the Scarecrow, in a rather husky voice. </p> <p> “Did you speak?” asked the girl, in wonder. </p> <p> “Certainly,” answered the Scarecrow. “How do you do?” </p> <p> “I’m pretty well, thank you,” replied Dorothy politely. “How do you do?” </p> <p> “I’m not feeling well,” said the Scarecrow, with a smile, “for it is very tedious being perched up here night and day to scare away crows.” </p> <p> “Can’t you get down?” asked Dorothy. </p> <p> “No, for this pole is stuck up my back.””",book1_the_wonderful_wizard_of_oz_pg55_images,28.0,3.0,How Dorothy Saved The Scarecrow,6.0,"[28, 29, 30]",the_wonderful_wizard_of_oz,there was a great cornfield beyond the fence and not far away she saw a scarecrow placed high on a pole to keep the birds from the ripe corn. dorothy leaned her chin upon her hand and gazed thoughtfully at the scarecrow. its head was a small sack stuffed with straw with eyes nose and mouth painted on it to represent a face. an old pointed blue hat that had belonged to some munchkin was perched on his head and the rest of the figure was a blue suit of clothes worn and faded which had also been stuffed with straw. on the feet were some old boots with blue tops such as every man wore in this country and the figure was raised above the stalks of corn by means of the pole stuck up its back. while dorothy was looking earnestly into the queer painted face of the scarecrow she was surprised to see one of the eyes slowly wink at her. she thought she must have been mistaken at first for none of the scarecrows in kansas ever wink; but presently the figure nodded its head to her in a friendly way. then she climbed down from the fence and walked up to it while toto ran around the pole and barked. good day said the scarecrow in a rather husky voice. did you speak? asked the girl in wonder. certainly answered the scarecrow. how do you do? im pretty well thank you replied dorothy politely. how do you do? im not feeling well said the scarecrow with a smile for it is very tedious being perched up here night and day to scare away crows. cant you get down? asked dorothy. no for this pole is stuck up my back.,[38],the_wonderful_wizard_of_oz,False
6,Which are the first antagonistic creatures the travelers encounter in the forest in the first book?,3,1,"“They found the forest very thick on this side, and it looked dark and gloomy. After the Lion had rested they started along the road of yellow brick, silently wondering, each in his own mind, if ever they would come to the end of the woods and reach the bright sunshine again. To add to their discomfort, they soon heard strange noises in the depths of the forest, and the Lion whispered to them that it was in this part of the country that the Kalidahs lived. “What are the Kalidahs?” asked the girl. “They are monstrous beasts with bodies like bears and heads like tigers,” replied the Lion, “and with claws so long and sharp that they could tear me in two as easily as I could kill Toto. I’m terribly afraid of the Kalidahs.” “I’m not surprised that you are,” returned Dorothy. “They must be dreadful beasts.” The Lion was about to reply when suddenly they came to another gulf across the road. But this one was so broad and deep that the Lion knew at once he could not leap across it. So they sat down to consider what they should do, and after serious thought the Scarecrow said: “Here is a great tree, standing close to the ditch. If the Tin Woodman can chop it down, so that it will fall to the other side, we can walk across it easily.” “That is a first-rate idea,” said the Lion. “One would almost suspect you had brains in your head, instead of straw.” The Woodman set to work at once, and so sharp was his axe that the tree was soon chopped nearly through.”",book1_the_wonderful_wizard_of_oz_pg55_images,73.0,7.0,The Journey To The Great Oz,6.0,"[73, 74]",the_wonderful_wizard_of_oz,they found the forest very thick on this side and it looked dark and gloomy. after the lion had rested they started along the road of yellow brick silently wondering each in his own mind if ever they would come to the end of the woods and reach the bright sunshine again. to add to their discomfort they soon heard strange noises in the depths of the forest and the lion whispered to them that it was in this part of the country that the kalidahs lived. what are the kalidahs? asked the girl. they are monstrous beasts with bodies like bears and heads like tigers replied the lion and with claws so long and sharp that they could tear me in two as easily as i could kill toto. im terribly afraid of the kalidahs. im not surprised that you are returned dorothy. they must be dreadful beasts. the lion was about to reply when suddenly they came to another gulf across the road. but this one was so broad and deep that the lion knew at once he could not leap across it. so they sat down to consider what they should do and after serious thought the scarecrow said: here is a great tree standing close to the ditch. if the tin woodman can chop it down so that it will fall to the other side we can walk across it easily. that is a first rate idea said the lion. one would almost suspect you had brains in your head instead of straw. the woodman set to work at once and so sharp was his axe that the tree was soon chopped nearly through.,"[220, 221]",the_wonderful_wizard_of_oz,False
7,Which are the first antagonistic creatures the travelers encounter in the forest in the first book?,3,2,"“They had just started to cross this queer bridge when a sharp growl made them all look up, and to their horror they saw running toward them two great beasts with bodies like bears and heads like tigers. “They are the Kalidahs!” said the Cowardly Lion, beginning to tremble. “Quick!” cried the Scarecrow. “Let us cross over.” So Dorothy went first, holding Toto in her arms, the Tin Woodman followed, and the Scarecrow came next. The Lion, although he was certainly afraid, turned to face the Kalidahs, and then he gave so loud and terrible a roar that Dorothy screamed and the Scarecrow fell over backward, while even the fierce beasts stopped short and looked at him in surprise. But, seeing they were bigger than the Lion, and remembering that there were two of them and only one of him, the Kalidahs again rushed forward, and the Lion crossed over the tree and turned to see what they would do next. Without stopping an instant the fierce beasts also began to cross the tree. And the Lion said to Dorothy: “We are lost, for they will surely tear us to pieces with their sharp claws. But stand close behind me, and I will fight them as long as I am alive.” “Wait a minute!” called the Scarecrow. He had been thinking what was best to be done, and now he asked the Woodman to chop away the end of the tree that rested on their side of the ditch. The Tin Woodman began to use his axe at once, and, just as the two Kalidahs were nearly across, the tree fell with a crash into the gulf, carrying the ugly, snarling brutes with it, and both were dashed to pieces on the sharp rocks at the bottom.”",book1_the_wonderful_wizard_of_oz_pg55_images,75.0,7.0,The Journey To The Great Oz,8.0,"[75, 76]",the_wonderful_wizard_of_oz,they had just started to cross this queer bridge when a sharp growl made them all look up and to their horror they saw running toward them two great beasts with bodies like bears and heads like tigers. they are the kalidahs! said the cowardly lion beginning to tremble. quick! cried the scarecrow. let us cross over. so dorothy went first holding toto in her arms the tin woodman followed and the scarecrow came next. the lion although he was certainly afraid turned to face the kalidahs and then he gave so loud and terrible a roar that dorothy screamed and the scarecrow fell over backward while even the fierce beasts stopped short and looked at him in surprise. but seeing they were bigger than the lion and remembering that there were two of them and only one of him the kalidahs again rushed forward and the lion crossed over the tree and turned to see what they would do next. without stopping an instant the fierce beasts also began to cross the tree. and the lion said to dorothy: we are lost for they will surely tear us to pieces with their sharp claws. but stand close behind me and i will fight them as long as i am alive. wait a minute! called the scarecrow. he had been thinking what was best to be done and now he asked the woodman to chop away the end of the tree that rested on their side of the ditch. the tin woodman began to use his axe at once and just as the two kalidahs were nearly across the tree fell with a crash into the gulf carrying the ugly snarling brutes with it and both were dashed to pieces on the sharp rocks at the bottom.,"[220, 221]",the_wonderful_wizard_of_oz,False
8,Which are the first antagonistic creatures the travelers encounter in the forest in the first book?,3,3,"“There were few birds in this part of the forest, for birds love the open country where there is plenty of sunshine. But now and then there came a deep growl from some wild animal hidden among the trees. These sounds made the little girl’s heart beat fast, for she did not know what made them; but Toto knew, and he walked close to Dorothy’s side, and did not even bark in return. “How long will it be,” the child asked of the Tin Woodman, “before we are out of the forest?” “I cannot tell,” was the answer, “for I have never been to the Emerald City. But my father went there once, when I was a boy, and he said it was a long journey through a dangerous country, although nearer to the city where Oz dwells the country is beautiful. But I am not afraid so long as I have my oil-can, and nothing can hurt the Scarecrow, while you bear upon your forehead the mark of the Good Witch’s kiss, and that will protect you from harm.” “But Toto!” said the girl anxiously. “What will protect him?” “We must protect him ourselves if he is in danger,” replied the Tin Woodman. Just as he spoke there came from the forest a terrible roar, and the next moment a great Lion bounded into the road. With one blow of his paw he sent the Scarecrow spinning over and over to the edge of the road, and then he struck at the Tin Woodman with his sharp claws. But, to the Lion’s surprise, he could make no impression on the tin, although the Woodman fell over in the road and lay still. Little Toto, now that he had an enemy to face, ran barking toward the Lion, and the great beast had opened his mouth to bite the dog, when Dorothy, fearing Toto would be killed, and heedless of danger, rushed forward and slapped the Lion upon his nose as hard as she could, while she cried out: “Don’t you dare to bite Toto! You ought to be ashamed of yourself, a big beast like you, to bite a poor little dog!” “I didn’t bite him,” said the Lion, as he rubbed his nose with his paw where Dorothy had hit it.”",book1_the_wonderful_wizard_of_oz_pg55_images,57.0,6.0,The Cowardly Lion,0.0,"[57, 58, 59]",the_wonderful_wizard_of_oz,there were few birds in this part of the forest for birds love the open country where there is plenty of sunshine. but now and then there came a deep growl from some wild animal hidden among the trees. these sounds made the little girls heart beat fast for she did not know what made them; but toto knew and he walked close to dorothys side and did not even bark in return. how long will it be the child asked of the tin woodman before we are out of the forest? i cannot tell was the answer for i have never been to the emerald city. but my father went there once when i was a boy and he said it was a long journey through a dangerous country although nearer to the city where oz dwells the country is beautiful. but i am not afraid so long as i have my oil can and nothing can hurt the scarecrow while you bear upon your forehead the mark of the good witchs kiss and that will protect you from harm. but toto! said the girl anxiously. what will protect him? we must protect him ourselves if he is in danger replied the tin woodman. just as he spoke there came from the forest a terrible roar and the next moment a great lion bounded into the road. with one blow of his paw he sent the scarecrow spinning over and over to the edge of the road and then he struck at the tin woodman with his sharp claws. but to the lions surprise he could make no impression on the tin although the woodman fell over in the road and lay still. little toto now that he had an enemy to face ran barking toward the lion and the great beast had opened his mouth to bite the dog when dorothy fearing toto would be killed and heedless of danger rushed forward and slapped the lion upon his nose as hard as she could while she cried out: dont you dare to bite toto! you ought to be ashamed of yourself a big beast like you to bite a poor little dog! i didnt bite him said the lion as he rubbed his nose with his paw where dorothy had hit it.,"[220, 221]",the_wonderful_wizard_of_oz,False
9,"When is the first time we read ""There's no place like home""?",4,1,"“That is because you have no brains” answered the girl. “No matter how dreary and gray our homes are, we people of flesh and blood would rather live there than in any other country, be it ever so beautiful. There is no place like home.”",book1_the_wonderful_wizard_of_oz_pg55_images,37.0,4.0,The Road Through The Forest,2.0,[37],the_wonderful_wizard_of_oz,that is because you have no brains answered the girl. no matter how dreary and gray our homes are we people of flesh and blood would rather live there than in any other country be it ever so beautiful. there is no place like home.,[37],the_wonderful_wizard_of_oz,True
